file_name,FastFMC_D0_number_of_nodes,FastFMC_D0_number_of_edges,FastFMC_D_number_of_nodes,FastFMC_D_number_of_edges,alt1_D0_number_of_nodes,alt1_D0_number_of_edges,alt2_D_number_of_nodes,alt2_D_number_of_edges
90-15-6-q,3973,13346,4036,14557,5303,16628,3953,17103
90-15-7-q,3316,5056,3372,5460,4730,12642,3251,5590
90-15-8-q,3624,7238,3694,8158,4402,9820,3587,8497
90-15-9-q,3197,3196,3197,3196,--,--,3197,3196
90-16-1-q,5261,15324,5358,17187,26611,163624,5122,21513
90-16-10-q,3741,5855,3803,6418,4975,10676,3663,6446
90-16-2-q,3487,4631,3525,4835,3845,7050,3409,4953
90-16-3-q,3569,4799,3631,5208,5768,21833,3583,5270
90-16-4-q,4645,15167,4738,16821,11092,61490,4645,19672
90-16-5-q,3961,7464,4021,8172,6158,18205,3922,8539
90-16-6-q,4413,11718,4481,13206,6699,18954,4141,17223
90-16-7-q,6551,27465,6684,27765,9323,45067,6287,41430
90-16-8-q,3650,3649,3650,3649,--,--,3650,3649
90-16-9-q,4291,8296,4391,9190,6880,18868,4358,9911
90-17-1-q,4224,8552,4268,9087,5246,19298,4227,9716
90-17-10-q,4056,6652,4102,7035,4804,9057,4037,7833
90-17-2-q,4133,4132,4133,4132,--,--,4133,4132
90-17-3-q,4676,9938,4770,11546,13589,128511,4657,12581
90-17-4-q,6835,30512,6990,33343,21972,109797,6753,45475
90-17-5-q,4494,11325,4546,11926,5934,18200,4446,12978
90-17-6-q,4823,9598,4911,10365,16382,64234,4567,11432
90-17-7-q,4133,4132,4133,4132,--,--,4133,4132
90-17-8-q,4815,11749,4915,12909,5833,13853,4616,14078
90-17-9-q,4906,10735,4995,11931,8877,31293,4802,13753
90-18-1-q,6170,20107,6279,22084,16874,87877,6084,30564
90-18-10-q,6301,21414,6387,23831,11171,51908,6140,29736
90-18-2-q,4854,8131,4937,8968,6733,18919,4801,9406
90-18-3-q,5427,14041,5518,15155,6494,16838,5389,16970
90-18-4-q,4690,7382,4756,7691,6173,13755,4568,8437
90-18-5-q,5995,14824,6121,16821,28538,141241,5985,19828
90-18-6-q,5860,13166,5936,14453,9695,34351,5415,16341
90-18-7-q,5235,12571,5308,13366,11151,61428,5169,14126
90-18-8-q,5372,11889,5456,13392,8697,35015,5309,15345
90-18-9-q,4596,6959,4668,7523,6046,17741,4566,7658
90-19-1-q,8580,34031,8760,38474,23386,119369,8510,44101
90-19-10-q,8134,32592,8277,35563,25610,176000,8026,47872
90-19-2-q,5894,11910,6023,13139,9597,28491,5956,13855
90-19-3-q,5189,5188,5189,5188,--,--,5189,5188
90-19-4-q,4981,6424,5033,6749,7336,39640,5013,6825
90-19-5-q,5189,5188,5189,5188,--,--,5189,5188
90-19-6-q,7171,19180,7297,20726,15408,60778,6960,24144
90-19-7-q,6577,18957,6703,19729,20835,110552,6556,22319
90-19-8-q,5829,16865,5919,17107,9205,42068,5838,22344
90-19-9-q,5189,5188,5189,5188,--,--,5189,5188
90-20-1-q,5909,10862,5989,11961,8906,24172,5951,13625
90-20-10-q,6400,12694,6526,14583,23279,102121,5969,16214
90-20-2-q,8459,35246,8589,39880,26254,140100,8379,44473
90-20-3-q,7119,18870,7238,20992,13758,60762,6904,23139
90-20-4-q,5888,9818,5978,10929,6527,11355,5865,11094
90-20-5-q,8233,24893,8356,27221,19923,74127,8065,33060
90-20-6-q,5564,7285,5652,7730,7758,15541,5472,7768
90-20-7-q,8402,26632,8563,28840,59888,480556,8339,43819
90-20-8-q,6980,22453,7065,23650,13920,66973,6953,26268
90-20-9-q,6487,15318,6572,16644,22987,126076,6266,19157
90-21-1-q,6805,15566,6907,17552,13667,53327,6846,20034
90-21-10-q,16197,89458,16358,100068,79507,478641,15706,141678
90-21-2-q,8679,25768,8865,29538,31720,146565,8610,38396
90-21-3-q,6507,10541,6605,10947,17300,66108,6222,11851
90-21-4-q,6365,6364,6365,6364,--,--,6365,6364
90-21-5-q,7622,17686,7780,19736,11606,33071,7570,21943
90-21-6-q,6365,6364,6365,6364,--,--,6365,6364
90-21-7-q,8039,22786,8169,23915,27510,148897,7481,28592
90-21-8-q,6365,6364,6365,6364,--,--,6365,6364
90-21-9-q,10049,39384,10162,45008,23248,129775,9838,58249
90-22-1-q,8087,18857,8205,20642,18280,104726,8088,26647
90-22-10-q,8767,23378,8924,25710,19638,80793,8825,30025
90-22-2-q,13425,71366,13659,77511,49474,295503,12993,99997
90-22-3-q,8745,21989,8898,23438,15975,58870,8552,27313
90-22-4-q,7666,17027,7783,18487,11266,37015,7696,21370
90-22-5-q,9384,29669,9585,31965,90213,498561,9300,40016
90-22-6-q,7028,10369,7154,11346,16760,53873,7072,11614
90-22-7-q,9853,33010,10019,38424,14941,56951,9629,50447
90-22-8-q,6998,6997,6998,6997,--,--,6998,6997
90-22-9-q,8748,25579,8849,30017,43196,268244,8601,34998
90-23-1-q,11944,51802,12135,56801,117221,745486,11815,74411
90-23-10-q,8493,21216,8635,23146,18007,93882,8149,29588
90-23-2-q,42222,226183,43021,256309,1258092,9784537,40527,380738
90-23-3-q,9192,31312,9298,32297,15703,54617,8976,41774
90-23-4-q,7335,9602,7413,10053,9947,23389,7250,10302
90-23-5-q,10176,28243,10357,31397,25256,108499,10164,35887
90-23-6-q,8158,14926,8282,16397,10502,23431,8125,18722
90-23-7-q,9242,28788,9395,29900,36656,246878,9278,34918
90-23-8-q,9535,28329,9720,30281,32680,172818,9574,33686
90-23-9-q,7661,7660,7661,7660,--,--,7661,7660
90-24-1-q,8354,8353,8354,8353,--,--,8354,8353
90-24-10-q,14629,55237,14792,60757,26214,137627,14129,101510
90-24-2-q,8246,11438,8364,12286,11616,27668,8281,12915
90-24-3-q,11671,34868,11863,36951,21237,89461,11499,47344
90-24-4-q,10942,40799,11097,42846,26477,124513,10685,50908
90-24-5-q,11398,48452,11563,51200,15128,57743,11089,58464
90-24-6-q,8354,8353,8354,8353,--,--,8354,8353
90-24-7-q,14903,48611,15042,61555,31276,151632,14534,106919
90-24-8-q,8240,12172,8344,12775,21908,93920,8063,13800
90-24-9-q,11312,32489,11471,34172,39864,190167,11078,49782
90-25-1-q,11221,32258,11389,35669,23682,88520,11077,40930
90-25-10-q,11789,45510,11967,48753,57875,343428,11753,59306
90-25-2-q,9717,18860,9840,19899,21483,92143,9584,22951
90-25-3-q,13591,39234,13829,43617,26317,94663,13486,61851
90-25-4-q,24544,141747,24835,159138,74042,594168,23716,224824
90-25-5-q,11689,31986,11910,34622,73397,358152,11433,44586
90-25-6-q,16228,89535,16462,104453,152039,1281728,15716,149725
90-25-7-q,24723,126568,25085,139033,193248,1310321,23923,249767
90-25-8-q,22660,124997,23026,130677,166903,1231298,21883,181455
90-25-9-q,18732,95283,19040,107680,261603,1530285,18279,155064
90-26-1-q,9830,9829,9830,9829,--,--,9830,9829
90-26-10-q,16448,58994,16670,69352,185770,951414,15809,101565
90-26-2-q,9830,9829,9830,9829,--,--,9830,9829
90-26-3-q,23110,106348,23479,123601,119328,782571,22306,176236
90-26-4-q,13267,43241,13488,48743,33967,184372,13164,96397
90-26-5-q,16009,61968,16165,71969,44413,255343,15694,101850
90-26-6-q,46662,355761,46986,375121,856332,7268393,44049,729234
90-26-7-q,9830,9829,9830,9829,--,--,9830,9829
90-26-8-q,55087,400946,55824,453014,3116772,21190273,52246,731012
90-26-9-q,9830,9829,9830,9829,--,--,9830,9829
90-30-1-q,77450,519555,78167,562430,523416,3986034,73187,833175
90-30-10-q,24769,95628,25112,112880,304574,2014858,24263,183683
90-30-2-q,32341,159423,32713,170971,152409,976078,31249,240270
90-30-3-q,31318,148387,31674,168516,551389,3094699,30412,251004
90-30-4-q,24494,96947,24824,107160,84674,456039,23860,157410
90-30-5-q,36534,209276,37120,228584,195526,1065382,35185,387715
90-30-6-q,38816,170413,39150,195669,93710,457830,36986,368502
90-30-7-q,41799,147040,42617,156700,105963,576886,39565,391780
90-30-8-q,53610,240165,54062,257610,974517,5800853,51025,449074
90-30-9-q,39457,192144,40022,204152,90749,490654,37724,360118
90-34-1-q,429752,1661187,437921,1771180,1971925,9321578,411918,5158385
90-34-10-q,81118,418447,81880,427812,713742,5605303,76878,1025683
90-34-2-q,37425,185359,37828,200934,367142,2058156,36248,304248
90-34-3-q,278082,1639500,278825,1657208,710861,5657958,258232,3623533
90-34-4-q,31269,145847,31736,158525,2256658,11270953,30533,205917
90-34-5-q,38592,170705,39118,190643,101063,489433,37063,350903
90-34-6-q,29943,125444,30432,126759,81686,460071,29098,201294
90-34-7-q,291780,1622669,294218,1536144,14473562,158228466,270732,5785648
